epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8025,1.11477,3.20478,1.3521,0.50947,0.46261,0.45748,0.2863,1.27623,1.95021,1.44984,0.000138368,0.000138368,0.000138368
2,137.799,1.18954,2.27876,1.41936,0.50957,0.46085,0.4639,0.27771,1.33835,1.94625,1.53079,0.000271876,0.000271876,0.000271876
3,203.729,1.23772,2.22478,1.44908,0.48829,0.49336,0.47583,0.2772,1.36,1.85755,1.53637,0.00039988,0.00039988,0.00039988
4,270.058,1.24311,2.19097,1.44079,0.50883,0.4618,0.47045,0.27846,1.35367,1.87983,1.55105,0.00039223,0.00039223,0.00039223
5,336.545,1.20414,2.06596,1.43953,0.57803,0.46927,0.50429,0.30428,1.33967,1.71946,1.53443,0.000383974,0.000383974,0.000383974
6,403.338,1.18851,2.00887,1.42927,0.613,0.47649,0.53626,0.33175,1.30055,1.67808,1.50967,0.000375717,0.000375717,0.000375717
7,469.58,1.18395,1.94922,1.41537,0.51041,0.50701,0.49643,0.29869,1.33598,1.81005,1.54387,0.00036746,0.00036746,0.00036746
8,534.521,1.17902,1.88744,1.41546,0.64915,0.51584,0.56373,0.357,1.26374,1.62263,1.47203,0.000359204,0.000359204,0.000359204
9,600.104,1.15358,1.8228,1.40273,0.58315,0.52583,0.55348,0.34138,1.29666,1.59157,1.48474,0.000350947,0.000350947,0.000350947
10,666.305,1.16444,1.78397,1.40023,0.62582,0.54545,0.56598,0.35,1.31002,1.61309,1.50246,0.000342691,0.000342691,0.000342691
11,731.946,1.14954,1.72846,1.38507,0.64034,0.52943,0.57925,0.36564,1.27964,1.5541,1.48288,0.000334434,0.000334434,0.000334434
12,797.715,1.1259,1.69721,1.37719,0.60939,0.54691,0.56641,0.35394,1.2912,1.56556,1.4815,0.000326177,0.000326177,0.000326177
13,863.619,1.13414,1.6727,1.37617,0.67701,0.52794,0.58638,0.36664,1.28701,1.53374,1.47206,0.000317921,0.000317921,0.000317921
14,929.85,1.11298,1.61317,1.35503,0.65724,0.53202,0.58915,0.37445,1.25017,1.50518,1.43736,0.000309664,0.000309664,0.000309664
15,996.216,1.10037,1.5911,1.34804,0.65988,0.54516,0.60211,0.39353,1.27392,1.46209,1.46519,0.000301408,0.000301408,0.000301408
16,1061.95,1.09175,1.53953,1.34816,0.62805,0.56549,0.59552,0.38405,1.25925,1.50117,1.45508,0.000293151,0.000293151,0.000293151
17,1127.94,1.08656,1.52866,1.34298,0.64672,0.56898,0.61853,0.40104,1.24766,1.45631,1.45663,0.000284894,0.000284894,0.000284894
18,1194.37,1.09395,1.51397,1.33875,0.64318,0.55724,0.60441,0.38605,1.26512,1.45369,1.45954,0.000276638,0.000276638,0.000276638
19,1260.63,1.07702,1.47047,1.33266,0.68875,0.55171,0.61758,0.39947,1.24301,1.43335,1.43671,0.000268381,0.000268381,0.000268381
20,1326.79,1.07193,1.45833,1.32613,0.67101,0.57861,0.6294,0.40592,1.2397,1.39371,1.42993,0.000260125,0.000260125,0.000260125
21,1392.81,1.05591,1.42374,1.31161,0.66962,0.54156,0.61542,0.39385,1.24062,1.44648,1.43199,0.000251868,0.000251868,0.000251868
22,1458.24,1.05745,1.40419,1.31713,0.6867,0.60411,0.65126,0.41836,1.21459,1.35804,1.41649,0.000243611,0.000243611,0.000243611
23,1526.3,1.04572,1.38773,1.30741,0.72081,0.58594,0.66007,0.43548,1.21714,1.3307,1.40976,0.000235355,0.000235355,0.000235355
24,1592.32,1.03669,1.34477,1.29913,0.69952,0.57874,0.64776,0.42439,1.23782,1.35454,1.41683,0.000227098,0.000227098,0.000227098
25,1658.09,1.0291,1.34916,1.29568,0.73236,0.57856,0.65957,0.43635,1.21699,1.33043,1.40747,0.000218842,0.000218842,0.000218842
26,1723.92,1.02501,1.33306,1.29166,0.6896,0.60095,0.65519,0.43299,1.21457,1.33599,1.41831,0.000210585,0.000210585,0.000210585
27,1788.99,1.0035,1.30499,1.28231,0.70156,0.59517,0.65632,0.43482,1.20846,1.30659,1.40397,0.000202328,0.000202328,0.000202328
28,1856.93,1.01605,1.29548,1.29141,0.69015,0.60429,0.64959,0.42911,1.21726,1.3362,1.40972,0.000194072,0.000194072,0.000194072
29,1924.88,1.00451,1.27146,1.27768,0.6856,0.59408,0.65441,0.43572,1.20043,1.31541,1.39507,0.000185815,0.000185815,0.000185815
30,1993.04,1.00017,1.2417,1.2717,0.7218,0.56281,0.64695,0.42489,1.21459,1.31936,1.40345,0.000177559,0.000177559,0.000177559
31,2061.28,0.98803,1.23336,1.26432,0.68732,0.60929,0.66037,0.43394,1.20346,1.28495,1.39152,0.000169302,0.000169302,0.000169302
32,2128.61,0.98521,1.22287,1.26205,0.69402,0.61039,0.67525,0.44997,1.19892,1.26881,1.38737,0.000161045,0.000161045,0.000161045
33,2195.1,0.97859,1.21216,1.26441,0.72503,0.60165,0.66936,0.44305,1.19841,1.29262,1.3848,0.000152789,0.000152789,0.000152789
34,2261.28,0.97348,1.18328,1.25129,0.72542,0.61651,0.67512,0.44841,1.19281,1.26213,1.38411,0.000144532,0.000144532,0.000144532
35,2326.96,0.97463,1.17616,1.24828,0.72543,0.62014,0.67645,0.44727,1.18353,1.26762,1.38173,0.000136276,0.000136276,0.000136276
36,2393.03,0.96152,1.17667,1.2493,0.69468,0.61982,0.67493,0.45062,1.18236,1.24558,1.37315,0.000128019,0.000128019,0.000128019
37,2459.04,0.96305,1.14958,1.24397,0.7214,0.60829,0.67175,0.4516,1.18287,1.26388,1.37831,0.000119762,0.000119762,0.000119762
38,2525.74,0.94201,1.14987,1.23971,0.74131,0.62464,0.68551,0.46088,1.18364,1.23213,1.37939,0.000111506,0.000111506,0.000111506
