timestamp,mode,mode_imgsz,mode_skip,fps,latency_ms,ram_usage_percent,cpu_usage_percent,gpu_usage_percent,temperature,num_detections,confidence_score_avg,source_frames_seen,processed_frames,intentional_skips_total,intentional_drop_rate_percent,frame_drop_rate_percent
2026-04-19T15:27:52.412,M0,640,0,7.41,134.93,83.8,0.0,0.0,0.0,9,0.5472,1,1,0,0.0,0.0
2026-04-19T15:27:53.104,M0,640,0,7.93,45.92,83.9,50.4,0.0,0.0,8,0.5276,2,2,0,0.0,0.0
2026-04-19T15:27:53.181,M0,640,0,8.55,35.03,83.9,50.4,0.0,0.0,10,0.5189,3,3,0,0.0,0.0
2026-04-19T15:27:53.241,M0,640,0,9.16,39.66,83.9,50.4,0.0,0.0,10,0.4998,4,4,0,0.0,0.0
2026-04-19T15:27:53.291,M0,640,0,9.84,33.59,83.9,50.4,0.0,0.0,8,0.5675,5,5,0,0.0,0.0
2026-04-19T15:27:53.395,M0,640,0,10.11,74.0,84.4,70.0,0.0,0.0,9,0.5197,6,6,0,0.0,0.0
2026-04-19T15:27:53.503,M0,640,0,10.81,35.09,84.4,70.0,0.0,0.0,9,0.5491,7,7,0,0.0,0.0
2026-04-19T15:27:53.554,M0,640,0,11.6,29.93,84.4,70.0,0.0,0.0,9,0.506,8,8,0,0.0,0.0
2026-04-19T15:27:53.602,M0,640,0,12.39,30.75,84.4,70.0,0.0,0.0,7,0.5467,9,9,0,0.0,0.0
2026-04-19T15:27:53.646,M0,640,0,13.25,28.64,84.4,70.0,0.0,0.0,10,0.4941,10,10,0,0.0,0.0
2026-04-19T15:27:53.694,M0,640,0,14.05,32.36,84.4,70.0,0.0,0.0,9,0.4848,11,11,0,0.0,0.0
2026-04-19T15:27:53.739,M0,640,0,14.95,28.45,84.4,70.0,0.0,0.0,7,0.5921,12,12,0,0.0,0.0
2026-04-19T15:27:53.784,M0,640,0,15.84,29.37,84.4,70.0,0.0,0.0,9,0.5332,13,13,0,0.0,0.0
2026-04-19T15:27:53.830,M0,640,0,16.73,29.34,84.4,70.0,0.0,0.0,9,0.5112,14,14,0,0.0,0.0
2026-04-19T15:27:53.895,M0,640,0,17.05,48.5,84.3,70.7,0.0,0.0,11,0.4947,15,15,0,0.0,0.0
2026-04-19T15:27:53.943,M0,640,0,17.93,30.09,84.3,70.7,0.0,0.0,11,0.4951,16,16,0,0.0,0.0
2026-04-19T15:27:53.987,M0,640,0,18.86,28.21,84.3,70.7,0.0,0.0,9,0.54,17,17,0,0.0,0.0
2026-04-19T15:27:54.032,M0,640,0,19.77,28.58,84.3,70.7,0.0,0.0,10,0.5493,18,18,0,0.0,0.0
2026-04-19T15:27:54.075,M0,640,0,20.72,27.35,84.3,70.7,0.0,0.0,12,0.5098,19,19,0,0.0,0.0
2026-04-19T15:27:54.121,M0,640,0,21.56,29.5,84.3,70.7,0.0,0.0,11,0.5122,20,20,0,0.0,0.0
2026-04-19T15:27:54.163,M0,640,0,22.49,27.18,84.3,70.7,0.0,0.0,8,0.6113,21,21,0,0.0,0.0
2026-04-19T15:27:54.207,M0,640,0,23.36,27.88,84.3,70.7,0.0,0.0,8,0.578,22,22,0,0.0,0.0
2026-04-19T15:27:54.252,M0,640,0,24.15,28.75,84.3,70.7,0.0,0.0,9,0.5707,23,23,0,0.0,0.0
2026-04-19T15:27:54.295,M0,640,0,25.06,26.45,84.3,70.7,0.0,0.0,11,0.5443,24,24,0,0.0,0.0
2026-04-19T15:27:54.341,M0,640,0,25.77,28.92,84.3,70.7,0.0,0.0,11,0.5282,25,25,0,0.0,0.0
2026-04-19T15:27:54.387,M0,640,0,26.37,30.0,84.3,70.7,0.0,0.0,10,0.5412,26,26,0,0.0,0.0
2026-04-19T15:27:54.438,M0,640,0,26.74,32.71,84.1,69.4,0.0,0.0,10,0.56,27,27,0,0.0,0.0
2026-04-19T15:27:54.486,M0,640,0,27.21,30.86,84.1,69.4,0.0,0.0,12,0.5704,28,28,0,0.0,0.0
2026-04-19T15:27:54.539,M0,640,0,27.26,36.11,84.1,69.4,0.0,0.0,12,0.6173,29,29,0,0.0,0.0
2026-04-19T15:27:54.590,M0,640,0,27.42,34.55,84.1,69.4,0.0,0.0,10,0.6345,30,30,0,0.0,0.0
2026-04-19T15:27:54.643,M0,640,0,27.44,36.19,84.1,69.4,0.0,0.0,11,0.5952,31,31,0,0.0,0.0
2026-04-19T15:27:54.694,M0,640,0,27.54,35.14,84.1,69.4,0.0,0.0,10,0.5823,32,32,0,0.0,0.0
2026-04-19T15:27:54.747,M0,640,0,27.51,36.67,84.1,69.4,0.0,0.0,9,0.6152,33,33,0,0.0,0.0
2026-04-19T15:27:54.806,M0,640,0,27.06,42.47,84.1,69.4,0.0,0.0,11,0.5948,34,34,0,0.0,0.0
2026-04-19T15:27:54.854,M0,640,0,27.43,31.89,84.1,69.4,0.0,0.0,8,0.6067,35,35,0,0.0,0.0
2026-04-19T15:27:54.902,M0,640,0,27.83,31.29,84.1,69.4,0.0,0.0,8,0.5609,36,36,0,0.0,0.0
2026-04-19T15:27:54.956,M0,640,0,27.79,36.45,83.8,77.8,0.0,0.0,10,0.545,37,37,0,0.0,0.0
2026-04-19T15:27:55.003,M0,640,0,28.23,30.28,83.8,77.8,0.0,0.0,8,0.6003,38,38,0,0.0,0.0
2026-04-19T15:27:55.052,M0,640,0,28.72,29.46,83.8,77.8,0.0,0.0,9,0.6021,39,39,0,0.0,0.0
2026-04-19T15:27:55.098,M0,640,0,29.18,29.26,83.8,77.8,0.0,0.0,9,0.6016,40,40,0,0.0,0.0
2026-04-19T15:27:55.141,M0,640,0,29.66,28.77,83.8,77.8,0.0,0.0,9,0.5918,41,41,0,0.0,0.0
2026-04-19T15:27:55.185,M0,640,0,30.16,28.17,83.8,77.8,0.0,0.0,10,0.5708,42,42,0,0.0,0.0
2026-04-19T15:27:55.231,M0,640,0,30.44,30.11,83.8,77.8,0.0,0.0,8,0.6148,43,43,0,0.0,0.0
2026-04-19T15:27:55.276,M0,640,0,30.84,28.57,83.8,77.8,0.0,0.0,9,0.591,44,44,0,0.0,0.0
2026-04-19T15:27:55.320,M0,640,0,31.22,28.5,83.8,77.8,0.0,0.0,8,0.6531,45,45,0,0.0,0.0
2026-04-19T15:27:55.362,M0,640,0,31.73,26.84,83.8,77.8,0.0,0.0,8,0.6506,46,46,0,0.0,0.0
2026-04-19T15:27:55.406,M0,640,0,32.09,27.96,83.8,77.8,0.0,0.0,8,0.6583,47,47,0,0.0,0.0
2026-04-19T15:27:55.469,M0,640,0,30.58,46.52,83.7,71.4,0.0,0.0,9,0.6672,48,48,0,0.0,0.0
